id,name,slug
1,"フリーランスエンジニア","freelance-engineer"
2,"キャリア","career"
3,"制度・手続き","office-procedure"
4,"データベース・SQL","database"
5,"Go言語","golang"
6,"老後・資産形成","money"
7,"税金・確定申告","tax"
8,"案件・エージェント","orders"
9,"Udemy","udemy"
10,"プログラミング学習","programming-learning"
11,"副業・複業","side-jobs"
12,"働き方・生活","workstyle-life"
13,"禁煙","%e7%a6%81%e7%85%99"
14,"応用情報技術者試験","ipa-ap"
15,"引越","moving"
16,"Ruby","ruby"
17,"便利サービス・商品","awsome-goods"
18,"書籍","books"
19,"子育て","childcare"
20,"基本情報技術者試験","ipa-fe"
21,"英語学習","english"
